uid,ym,max_ev,avg_ev,hh_pct,sessions
20752,2021-04,46.5,40.8,38.1,2
20752,2021-05,52.9,39.2,19.0,15
20752,2021-06,50.9,40.2,5.9,9
20752,2021-07,73.5,40.4,2.2,9
20752,2021-08,49.5,39.9,0.0,6
20752,2021-09,52.3,42.6,0.0,8
20752,2021-10,53.7,43.7,0.0,7
20752,2021-11,53.1,43.3,15.1,11
20752,2021-12,52.2,42.2,11.9,10
20752,2022-01,54.0,43.5,24.3,9
20752,2022-02,54.7,44.1,29.5,8
20752,2022-03,56.2,46.6,31.5,8
20752,2022-04,54.9,44.9,15.9,8
20752,2022-05,56.8,44.7,12.0,17
20752,2022-06,56.3,47.8,26.2,4
20752,2022-07,56.6,46.7,32.5,2
20752,2022-08,56.9,47.8,33.3,4
20752,2022-09,59.4,50.2,33.3,12
20752,2022-10,62.1,49.4,15.3,23
20752,2022-11,60.0,48.1,7.0,13
20752,2022-12,60.5,49.8,4.7,12
20752,2023-01,61.0,49.2,15.1,16
20752,2023-02,59.8,48.0,9.6,9
20752,2023-03,63.3,50.8,14.4,19
20752,2023-04,59.8,51.0,3.3,12
20752,2023-05,60.8,50.7,5.6,12
20752,2023-06,63.6,51.1,10.9,6
20752,2023-07,62.6,52.4,18.1,7
20752,2023-08,64.6,54.0,19.7,9
20752,2023-09,62.3,53.5,17.3,8
20752,2023-10,64.6,53.7,16.9,10
20752,2023-11,65.6,52.0,11.6,9
20752,2023-12,68.7,54.2,11.1,13
20752,2024-01,68.8,55.3,19.3,8
20752,2024-02,67.0,56.4,16.8,4
20752,2024-03,61.8,52.3,0.0,3
20752,2024-04,63.7,51.1,1.3,5
20752,2024-05,65.7,51.4,1.5,9
20752,2024-07,66.4,55.9,8.8,6
20752,2024-08,69.3,57.3,28.9,8
20752,2024-09,67.1,58.4,24.4,3
20752,2024-10,68.4,57.5,14.3,7
20752,2024-11,68.2,54.2,8.8,6
20752,2024-12,67.2,51.4,3.3,4
20752,2025-01,72.6,60.3,34.9,13
20752,2025-02,73.8,62.6,30.4,9
20752,2025-03,73.1,61.4,26.9,8
20752,2025-04,72.1,62.3,20.8,16
20752,2025-05,74.4,59.6,14.9,20
20752,2025-06,75.4,61.8,25.5,16
20752,2025-07,74.3,62.6,20.2,7
20752,2025-08,73.3,64.2,29.8,10
20752,2025-09,74.3,63.1,18.7,7
20752,2025-10,71.8,59.2,16.1,4
20752,2025-11,72.1,58.4,6.3,5
20752,2025-12,73.9,60.1,22.5,9
20752,2026-01,76.7,65.0,35.1,7
20752,2026-02,75.7,64.1,26.1,6
20752,2026-03,83.4,67.8,30.2,15
20752,2026-04,82.2,67.3,10.4,8
20752,2026-05,81.3,68.6,12.3,6
20752,2026-06,79.4,66.7,9.6,5
20752,2026-07,78.7,68.2,14.1,9
20752,2026-08,82.5,70.5,28.5,16
20752,2026-09,81.5,70.1,22.0,6
22908,2021-05,47.8,36.3,24.9,7
22908,2021-06,49.6,36.5,6.8,7
22908,2021-07,45.7,35.6,3.8,2
22908,2021-08,47.8,39.0,15.3,3
22908,2021-09,50.9,39.1,23.0,4
22908,2021-10,49.9,37.3,12.0,3
22908,2021-11,46.7,33.9,0.0,4
22908,2021-12,49.4,38.3,8.5,4
22908,2022-01,45.3,35.4,0.0,3
22908,2022-02,46.6,36.1,0.0,4
22908,2022-03,51.8,39.4,11.7,4
22908,2022-04,50.2,41.0,11.7,8
22908,2022-05,52.0,40.2,15.1,13
22908,2022-06,51.2,43.5,20.0,2
22908,2022-07,51.4,43.0,30.0,2
22908,2022-08,55.3,46.9,38.3,2
22908,2022-09,55.9,47.0,25.0,9
22908,2022-10,54.9,46.6,18.0,13
22908,2022-11,56.8,46.1,13.3,6
22908,2022-12,55.7,45.7,8.9,12
22908,2023-01,53.1,44.8,6.4,9
22908,2023-02,53.2,44.5,3.6,4
22908,2023-03,52.6,43.0,3.7,8
22908,2023-04,51.3,41.9,14.8,6
22908,2023-05,52.6,45.3,25.5,4
22908,2023-06,57.6,45.0,26.8,4
22908,2023-07,53.9,45.1,1.8,4
22908,2023-08,54.0,42.2,2.9,7
22908,2023-09,54.8,48.1,10.0,4
22908,2023-10,54.0,45.0,4.5,6
22908,2023-11,59.4,46.4,9.2,9
22908,2023-12,71.7,47.2,11.2,9
22908,2024-01,52.0,44.7,0.0,3
22908,2024-02,55.3,50.4,0.0,1
