uid,ym,max_ev,avg_ev,hh_pct,sessions
20752,2021-04,46.5,40.8,14.0,2
20752,2021-05,52.9,39.2,10.4,15
20752,2021-06,50.9,40.3,4.6,9
20752,2021-07,49.5,40.3,5.5,9
20752,2021-08,49.5,39.6,1.1,6
20752,2021-09,52.3,42.7,14.8,8
20752,2021-10,53.7,43.8,21.9,7
20752,2021-11,53.1,43.4,18.1,11
20752,2021-12,52.2,42.2,14.2,10
20752,2022-01,54.0,43.6,20.6,9
20752,2022-02,54.7,44.2,24.5,8
20752,2022-03,56.2,46.7,26.7,8
20752,2022-04,54.9,45.5,17.0,8
20752,2022-05,56.8,45.1,13.8,17
20752,2022-06,56.3,48.0,30.0,4
20752,2022-07,54.9,46.6,25.7,2
20752,2022-08,56.9,47.8,29.3,4
20752,2022-09,59.4,50.4,31.9,12
20752,2022-10,62.1,49.5,16.0,23
20752,2022-11,60.0,48.2,9.4,13
20752,2022-12,60.5,50.1,4.5,12
20752,2023-01,61.0,49.3,9.2,16
20752,2023-02,59.0,48.5,7.6,9
20752,2023-03,63.3,51.0,14.3,19
20752,2023-04,59.8,51.1,9.6,12
20752,2023-05,60.8,51.0,21.1,12
20752,2023-06,63.6,51.2,20.0,6
20752,2023-07,62.6,52.7,20.8,7
20752,2023-08,64.6,54.0,19.7,9
20752,2023-09,62.3,53.8,20.5,8
20752,2023-10,64.6,53.7,20.2,10
20752,2023-11,65.6,52.2,15.3,9
20752,2023-12,68.7,54.9,10.2,13
20752,2024-01,68.8,55.3,18.9,8
20752,2024-02,67.0,56.3,8.5,4
20752,2024-03,61.8,52.3,0.0,3
20752,2024-04,63.7,51.3,0.0,5
20752,2024-05,65.7,51.5,2.5,9
20752,2024-07,66.4,55.8,18.8,6
20752,2024-08,69.3,57.5,31.7,8
20752,2024-09,67.1,58.4,26.4,3
20752,2024-10,68.4,57.7,23.1,7
20752,2024-11,68.2,54.6,11.6,6
20752,2024-12,67.2,51.4,6.0,4
20752,2025-01,72.6,60.7,33.8,13
20752,2025-02,73.8,62.6,34.8,9
20752,2025-03,73.1,61.7,37.1,8
20752,2025-04,72.1,62.9,29.2,16
20752,2025-05,74.4,60.5,14.0,20
20752,2025-06,75.4,62.2,27.1,16
20752,2025-07,74.3,63.7,21.8,7
20752,2025-08,73.3,64.9,33.2,10
20752,2025-09,74.3,63.8,21.5,7
20752,2025-10,71.8,60.0,18.8,4
20752,2025-11,72.1,59.0,5.9,5
20752,2025-12,73.9,60.9,18.5,9
20752,2026-01,76.7,65.6,38.8,7
20752,2026-02,75.7,64.9,27.4,6
20752,2026-03,83.4,68.1,26.6,15
20752,2026-04,82.2,67.8,12.4,8
20752,2026-05,81.3,68.6,12.1,6
20752,2026-06,79.4,66.9,10.1,5
20752,2026-07,78.7,68.5,14.1,9
20752,2026-08,82.5,70.7,24.0,16
20752,2026-09,81.5,70.1,21.5,6
22908,2021-05,47.8,36.2,13.3,7
22908,2021-06,49.6,36.7,7.5,7
22908,2021-07,45.7,35.8,4.5,2
22908,2021-08,47.8,39.8,10.4,3
22908,2021-09,50.9,39.3,7.2,4
22908,2021-10,49.9,39.4,6.3,3
22908,2021-11,46.7,33.9,2.0,4
22908,2021-12,49.4,38.4,8.1,4
22908,2022-01,45.3,35.3,0.0,3
22908,2022-02,46.6,37.1,2.6,4
22908,2022-03,51.8,39.4,11.5,4
22908,2022-04,50.2,41.0,12.2,8
22908,2022-05,52.0,40.5,19.6,13
22908,2022-06,51.2,43.5,20.0,2
22908,2022-07,51.4,43.0,20.0,2
22908,2022-08,55.3,46.9,37.8,2
22908,2022-09,55.9,46.9,26.6,9
22908,2022-10,54.9,46.6,23.3,13
22908,2022-11,56.8,46.0,16.5,6
22908,2022-12,55.7,45.7,8.5,12
22908,2023-01,53.1,44.8,5.8,9
22908,2023-02,53.2,44.5,7.8,4
22908,2023-03,52.6,43.2,1.3,8
22908,2023-04,51.3,41.9,0.0,6
22908,2023-05,52.6,45.3,7.8,4
22908,2023-06,57.6,45.7,19.1,4
22908,2023-07,53.9,45.5,4.5,4
22908,2023-08,54.0,42.2,1.6,7
22908,2023-09,54.8,48.1,16.4,4
22908,2023-10,54.0,45.2,4.7,6
22908,2023-11,59.4,46.4,9.7,9
22908,2023-12,58.2,46.5,4.1,8
22908,2024-01,52.0,44.7,0.0,3
22908,2024-02,55.3,50.4,11.1,1
22908,2024-05,56.1,50.5,27.3,1
